block,txIndex,logIndex,sender,amount0,amount1,sqrtPriceX96,liquidity,tick,fee
56660655,3,1,0x389ea62455975d38ee210be146a9262b768ddebf,166085961485172,-401787,3898012389740728540547841,11494586345489,-198403,100
56660832,7,27,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,27310157459690,-66123,3898468099651181591516885,11494586345489,-198400,100
56661046,3,2,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,13708159024174,-33196,3898696880495583660172665,11494586345489,-198399,100
56661189,7,5,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-30000000000000,72627,3898196283699085447588921,11494586345489,-198402,100
56661223,8,21,0x389ea62455975d38ee210be146a9262b768ddebf,-169343231949968,409617,3895372936896005214830592,11494586345489,-198416,100
56661230,9,29,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-100000000000000,241607,3893707623338232898382540,11494586345489,-198425,100
56661760,4,5,0x389ea62455975d38ee210be146a9262b768ddebf,-167759198511315,404854,3890917102334323550322688,11494586345489,-198439,100
56661978,7,12,0x2ff506ed9729580ef8bf04429614beb1bae5f76d,95882065788027,-231369,3892511682487619422013807,11494586345489,-198431,100
56662133,12,42,0x389ea62455975d38ee210be146a9262b768ddebf,-166527447369922,401637,3889743336719446408429568,11494586345489,-198445,100
56662280,9,21,0x389ea62455975d38ee210be146a9262b768ddebf,166555805496492,-401787,3892512431354152165063256,11494586345489,-198431,100
56662948,13,37,0x389ea62455975d38ee210be146a9262b768ddebf,-176340481402333,425287,3889581075815066534674432,11494586345489,-198446,100
56663342,11,30,0x389ea62455975d38ee210be146a9262b768ddebf,-172031674064331,414278,3886725598184239221702656,11494586345489,-198461,100
56663422,4,2,0x389ea62455975d38ee210be146a9262b768ddebf,170083536339907,-409666,3889548998596771536961536,11494586345489,-198446,100
56663814,4,2,0x389ea62455975d38ee210be146a9262b768ddebf,-178652659028602,430203,3886583754840216833097728,11494586345489,-198462,100
56663887,5,11,0x389ea62455975d38ee210be146a9262b768ddebf,165357255205267,-398246,3889328442784544169394176,11494586345489,-198447,100
56664466,7,15,0x389ea62455975d38ee210be146a9262b768ddebf,164290016364929,-396233,3892059257948124905209856,11494586345489,-198433,100
56664514,6,7,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-100000000000,241,3892057594756306519042958,11494586345489,-198433,100
56665318,3,2,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,4515431109064,-10899,3892132703965195689389488,11494586345489,-198433,100
